timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753827882,cc:ba:97:e1:36:0e,-60,ESP32_00828232,502,0,0,NORMAL
1753827901,cc:ba:97:e1:36:0e,-61,ESP32_44769182,502,17,0,NORMAL
1753827919,cc:ba:97:e1:36:0e,-67,ESP32_70236288,502,35,0,NORMAL
1753827938,cc:ba:97:e1:36:0e,-69,ESP32_80687831,502,54,0,NORMAL
1753827956,cc:ba:97:e1:36:0e,-59,ESP32_82483268,502,72,19,NORMAL
1753827981,cc:ba:97:e1:36:0e,-63,ESP32_94949856,592,97,19,NORMAL
1753828000,cc:ba:97:e1:36:0e,-69,ESP32_52259402,592,116,19,NORMAL
1753828021,cc:ba:97:e1:36:0e,-65,ESP32_16200283,592,137,19,NORMAL
1753828037,cc:ba:97:e1:36:0e,-79,ESP32_36117250,592,137,19,NORMAL
1753828038,cc:ba:97:e1:36:0e,-58,ESP32_26411250,592,154,36,NORMAL
1753828038,cc:ba:97:e1:36:0e,-82,ESP32_36417250,592,181,36,NORMAL
1753828056,cc:ba:97:e1:36:0e,-72,ESP32_23353113,592,202,36,NORMAL
1753828082,cc:ba:97:e1:36:0e,-62,ESP32_78438409,602,228,36,NORMAL
1753828100,cc:ba:97:e1:36:0e,-57,ESP32_80761867,602,246,54,NORMAL
1753828118,cc:ba:97:e1:36:0e,-73,ESP32_34417250,602,251,54,NORMAL
1753828119,cc:ba:97:e1:36:0e,-59,ESP32_16417250,602,275,73,NORMAL
1753828137,cc:ba:97:e1:36:0e,-62,ESP32_80985093,602,293,73,NORMAL
1753828156,cc:ba:97:e1:36:0e,-55,ESP32_92804283,602,312,91,EXPOSURE
1753828183,cc:ba:97:e1:36:0e,-62,ESP32_80909411,662,339,91,NORMAL
1753828201,cc:ba:97:e1:36:0e,-57,ESP32_30631412,662,357,108,EXPOSURE
1753828220,cc:ba:97:e1:36:0e,-56,ESP32_81687831,662,376,127,EXPOSURE
1753828239,cc:ba:97:e1:36:0e,-67,ESP32_41396947,662,395,127,NORMAL
1753828239,cc:ba:97:e1:36:0e,-80,ESP32_26396925,662,410,127,NORMAL
1753828257,cc:ba:97:e1:36:0e,-53,ESP32_12952111,662,433,141,EXPOSURE
1753828257,cc:ba:97:e1:36:0e,-79,ESP32_23503019,662,458,141,NORMAL
1753828239,cc:ba:97:e1:36:0e,-67,ESP32_41316357,719,475,141,NORMAL
1753828239,cc:ba:97:e1:36:0e,-80,ESP32_46598921,719,491,141,NORMAL
1753828257,cc:ba:97:e1:36:0e,-53,ESP32_22902116,719,513,154,EXPOSURE
1753828257,cc:ba:97:e1:36:0e,-79,ESP32_12932069,719,538,154,NORMAL
1753828257,cc:ba:97:e1:36:0e,-79,ESP32_25902013,719,558,154,NORMAL